title,description,display_date,Picture_link,Location,On_road,Price
Toyota prado,Toyota land Cruiser prado Model 1998 Reg     2007Very good condition No work required New tire 2002 model rimsWithout sunroofExchange with 2014 gliNd premio 2007,05-06-20 12:52,https://apollo-singapore.akamaized.net:443/v1/files/7lqmgubhq4771-PK/image;s=1080x810,"Karachi,Sindh,Pakistan","1998 - 170,000 km","Rs 2,700,000"
Toyota Aqua 1.5 G Soft Leather 2014,"Toyota Aqua 1.5 G Soft Leather is up for sale. The car’s total specifications and physical condition is mentioned and described below in the following points:- • Original registration book, file, both number plates available• Automatic gear transmission• Push Start• Climate Control A/C• Retractable Side Mirrors• Interior, exterior is good•Tyres condition is good• 108331 KM driven up till now• Registered City: IslamabadAt the end we would just say that seeing, driving, and inspecting is believing for this crystal clear, totally trouble free, new machine, a gift for Toyota Aqua 1.5 G Soft Leather Iovers. It’s kept with intense care without compromising on its maintenance. You can bring your denter/painter/mechanic for your complete satisfaction. Price is almost fixed and quiet reasonable for such a beauty but still a bit negotiable for really interested customers. Do feel free to call/text to know more about this beauty or to schedule a meeting Carfirst Sales is the best place to buy your next car. All our cars are available at affordable prices, including pre-certified vehicles. We are Pakistan’s #1 source for trusted used cars, with the right vehicle to suit every need and every budget.Call now or visit your closest Carfirst Sales Branch to check out the latest cars, promotions, rewards & other value added services.Visit us at any of the following Carfirst SalesFerozpur Road - 9-L, Gulberg III, LahoreCall Timings: 1o: 00 AM to 5:00 PM",06-06-20 3:34,https://apollo-singapore.akamaized.net:443/v1/files/j89pqmz1jie6-PK/image;s=1080x810,"Lahore,Punjab,Pakistan","2014 - 108,331 km","Rs 2,310,000"
Toyota Vitz Safety Package 1.0 F Fresh Import 2020,"Toyota_Vitz Smart Safety_Package              Multimedia_Stearing Model 2016  Fresh_Import April_2020Radar/Pre-Crash Technology  Lane_Assist Traction Control 3.5 Grade Verifiable Auction Sheet Rs=22,95,000 Final",18-05-20 14:43,https://apollo-singapore.akamaized.net:443/v1/files/dbvxdopsodwq1-PK/image;s=1080x808,"Lahore,Punjab,Pakistan","2016 - 95,000 km","Rs 2,295,000"
Toyota Corolla 1.3 GLI Auto 2019,"Toyota Corolla 1.3 GLI Auto 2019 is up for sale. The car’s total specifications and physical condition is mentioned and described below in the following points:-• Every function and every electronic is completely working• Totally genuine body (Bumper to Bumper)• Original registration book, file, both number plates available with all token taxes paid up to 30-June-2020.  ABS, Air Bag, Heater, Multimedia, Power Window, • Immobilizer Key• Retractable side mirrors •Registered City: Lahore• Automatic gear transmission• Totally rust less. dent less and scratch less• Penny less work required in the car, even the oil is changed and the car is washed • 10/10 interior, exterior, engine, suspension.• Totally driven on petrol, CNG never ever installed• 6458km originally driven up till now, no meter reversing as the car’s physical and engine condition speaks for itself• Smooth, powerful and comfortable luxury drive without any squeaks or issues• Chilled A/C• Gives exactly 12kmpl-13kmpl in city with A/C turned on and 14kmpl-15kmpl on motorway with A/C turned on At the end I would just say that seeing, driving, and inspecting this crystal clear, totally trouble free, new like powerful machine is believing as it is a gift for Toyota Corolla 1.3 GLI Auto 2019 lovers. You can bring your denter /painter/mechanic for your complete satisfaction. Price is almost fixed and quiet reasonable for such a gift like beauty but still a bit negotiable for really interested customers, brokers are welcome too. Do feel free to call/text anytime to know more about this beauty or to schedule a meeting. Carfirst Sales is the best place to buy your next car. All our cars are available at affordable prices, including pre-certified vehicles. We are Pakistan’s #1 source for trusted used cars, with the right vehicle to suit every need and every budget.Call now or visit your closest Carfirst Sales Branch to check out the latest cars, promotions, rewards & other value added services.Visit us at following Carfirst Sales Center              Shop# 24-A, Hockey Stadium, Near Nadra Office, Madina Town,               Faisalabad.Call Timings: 11: 00 AM to 7:00 PM",02-06-20 14:05,https://apollo-singapore.akamaized.net:443/v1/files/ibe74rcvvmdl3-PK/image;s=1080x648,"Faisalabad,Punjab,Pakistan","2019 - 6,458 km","Rs 2,875,000"
PREMIO X L 2015,"Premio X 1.8 Model 2007 import / Regd 2015Total genuine / untouch, Original,Scrathless Car is almost brand new, Beach interior121 First owner Fog lights Brand New tiresJust buy and driveNo sms only call",28-05-20 10:14,https://apollo-singapore.akamaized.net:443/v1/files/qq05e8jjwgxq-PK/image;s=1080x810,"Mardan,Khyber Pakhtunkhwa,Pakistan","2007 - 140,000 km","Rs 2,800,000"
Corolla GLI 2019 Automatic 3000000 Please Contact 0300/4668339,Bumper to Bumper Geniun Left side door 2 inch pencil lineTuch ScreenToday 06/06/2020 I am flying Back to Dubai please Contact with my Brother 0300/4668339Seat CoverPlastic coverRemount Depot Mona Head Faqirian Near Salam Interchange,31-05-20 23:02,https://apollo-singapore.akamaized.net:443/v1/files/8cpz7hieaf8y1-PK/image;s=1080x1822,"Mandi Bahauddin,Punjab,Pakistan","2019 - 15,000 km","Rs 3,000,000"
TOYOTA VITZ AUTO 2010/14,TOTAL GENUINE VERY GOOD CONDITION MORE INFORMATION CONTACT THE NUMBER OF PROFILE,03-06-20 14:44,https://apollo-singapore.akamaized.net:443/v1/files/rru341dwx7yn-PK/image;s=1080x810,"Lahore,Punjab,Pakistan","2010 - 98,000 km","Rs 1,450,000"
ISD #BRAND #NEW #PRINCE #PEARL 800 CC #MANUAL  CAR FOR SALE,"BRAND NEW #PRINCE #PEARL 800 CC #MANUAL #CAR IS AVAILABLE  AT ISLAMABAD.NET PRICE:WHITE COLOR  RS. 1,190,000NON WHITE  COLOR  RS. 1,170,000WITHOUT REGISTRATION CHARGESNO MORE BARGAININGCOLORS : WHITE,SILVER,LIGHT BROWN,DARK BROWN, MAROON, AQUA GREEN, BLUE.ALL PROCESS AT COMPANY AUTHORIZED DEALERSHIP.FEATURES: Power SteeringPower windows - all fourPower MirrorsAluminium RimsAir conditionerHeatertouch System LCDCentral locking4 Seat-beltsPush Button Diggy.796cc water-cooled EFI engine40 horsepower60 Nm torqueGround clearance: 145mmTurning radius: 4.5mGross weight: 735 KgFuel Type: PetrolSteering Type: Rack and Pinion with Electric MotorFuel tank capacity: 27LMileage City: 18 KM/LMileage Highway: 22 KM/LTransmission Type: ManualSeating Capacity: 5 personsTop Speed: 120-130 KM/HFront Wheel-driveBrakes: Front: Discs, Rear: DrumsSuspension: Front: McPherson independent; Rear: Coil >SpringTyres: 155/65R13 etcBANK LEASE FACILITY ALSO AVAILABLE AFTER LOCK DOWN.REGARDSCH IRFAN MAHMOODTRUST AUTO CONSULTANTCALL OR WTS MSG0333- 3132451",11-05-20 13:42,https://apollo-singapore.akamaized.net:443/v1/files/yvjn9bq3apvr3-PK/image;s=1080x810,"Islamabad,Islamabad Capital Territory,Pakistan",2020 - 1 km,"Rs 1,190,000"
2013 Toyota Corolla 1.3 Gli Manual better than city/xli,Total Genuine insideSides ShoweredFront back Total genuineSeal to seal No accidentsOrignal book fileTv cameraAlloy rims with new Bridgestone tyres,03-06-20 14:45,https://apollo-singapore.akamaized.net:443/v1/files/i4xtupk2o7w93-PK/image;s=1080x486,"Lahore,Punjab,Pakistan","2013 - 114,000 km","Rs 1,600,000"
Mira es outclass,"Non accidented car, original airbags, just 1 pice touch , life Time paid ,urgently selling",12-06-20 1:56,https://apollo-singapore.akamaized.net:443/v1/files/uvd7soy4evxv3-PK/image;s=1080x1080,"Islamabad,Islamabad Capital Territory,Pakistan","2013 - 75,000 km","Rs 1,320,000"
